                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.87846,                0.72847,                0.99059,                0.63053,                0.58286,                0.55952,                0.41042,                  1.026,                 1.2807,                 1.2348,              0.0011374,              0.0011374,              0.0011374
                     46,                0.87666,                0.71387,                 1.0023,                0.51241,                0.66857,                 0.5429,                0.39029,                0.99168,                 1.2988,                  1.172,              0.0011178,              0.0011178,              0.0011178
                     47,                0.86511,                0.70711,                0.98261,                0.53269,                0.65143,                0.51417,                0.37493,                 1.1269,                 1.5882,                 1.3519,              0.0010982,              0.0010982,              0.0010982
                     48,                0.87637,                0.70459,                0.98645,                0.53688,                0.67429,                0.56783,                0.40435,                 1.1258,                 1.3978,                 1.3173,              0.0010786,              0.0010786,              0.0010786
                     49,                0.87501,                0.70917,                0.98681,                0.62102,                0.61801,                0.58328,                0.41065,                 1.0517,                 1.3674,                 1.2689,               0.001059,               0.001059,               0.001059
                     50,                0.85588,                0.67767,                 0.9816,                0.58426,                0.63441,                0.58449,                0.43193,                 0.9455,                 1.1496,                 1.1274,              0.0010394,              0.0010394,              0.0010394
                     51,                0.85482,                0.65903,                 0.9724,                0.58335,                0.65604,                0.57312,                0.42116,                0.97352,                 1.2435,                 1.1467,              0.0010198,              0.0010198,              0.0010198
                     52,                0.82898,                0.65751,                0.96722,                 0.5998,                0.64232,                0.59653,                0.40223,                 1.0851,                 1.2959,                 1.2268,              0.0010002,              0.0010002,              0.0010002
                     53,                0.83282,                0.63299,                0.97198,                 0.6175,                0.60571,                0.54631,                0.39432,                0.99386,                 1.2497,                 1.1656,             0.00098059,             0.00098059,             0.00098059
                     54,                0.85626,                0.67194,                0.98119,                0.59858,                0.61714,                0.55386,                0.39857,                0.99519,                 1.2068,                 1.1736,             0.00096099,             0.00096099,             0.00096099
                     55,                  0.889,                0.67558,                0.98353,                0.63114,                0.64532,                0.61264,                0.44751,                 1.0022,                 1.1856,                 1.1883,             0.00094139,             0.00094139,             0.00094139
                     56,                0.86272,                0.64604,                0.97718,                0.62604,                0.63429,                0.59018,                0.43177,                0.99029,                  1.079,                 1.1787,             0.00092178,             0.00092178,             0.00092178
                     57,                0.84891,                0.65779,                0.98376,                0.59828,                0.70637,                0.61889,                0.45573,                0.94314,                 1.1839,                 1.1527,             0.00090218,             0.00090218,             0.00090218
                     58,                 0.8297,                 0.6385,                0.96958,                0.58465,                0.66857,                0.59761,                0.44621,                0.99005,                 1.2966,                 1.1804,             0.00088257,             0.00088257,             0.00088257
                     59,                0.81141,                0.63402,                 0.9588,                0.60321,                0.63415,                0.58005,                0.42668,                0.91301,                 1.1337,                 1.0901,             0.00086297,             0.00086297,             0.00086297
                     60,                0.82248,                0.63851,                0.96796,                 0.6107,                0.60957,                0.57004,                0.41266,                0.98911,                 1.2092,                 1.1565,             0.00084337,             0.00084337,             0.00084337
                     61,                0.82548,                0.60342,                0.95871,                0.64417,                0.64139,                0.62438,                0.46145,                0.88267,                  1.023,                 1.0808,             0.00082376,             0.00082376,             0.00082376
                     62,                0.81768,                0.59253,                0.96286,                0.55928,                0.62857,                0.58154,                0.44113,                0.92939,                 1.2735,                 1.1445,             0.00080416,             0.00080416,             0.00080416
                     63,                 0.7816,                0.58769,                0.95295,                0.57361,                0.70286,                0.61083,                0.45913,                0.91587,                 1.1214,                 1.1238,             0.00078455,             0.00078455,             0.00078455
                     64,                0.79915,                0.58281,                0.95892,                0.63471,                0.71429,                 0.6434,                 0.4823,                0.92667,                 1.1774,                 1.1557,             0.00076495,             0.00076495,             0.00076495
                     65,                0.81118,                0.60523,                0.95913,                0.60007,                0.64571,                0.56329,                0.42441,                0.95985,                 1.1903,                 1.1633,             0.00074535,             0.00074535,             0.00074535
                     66,                0.79936,                0.58677,                0.95144,                0.63674,                0.60571,                0.59377,                0.44809,                0.97699,                 1.2174,                 1.1948,             0.00072574,             0.00072574,             0.00072574
                     67,                0.81644,                0.56932,                0.95411,                0.56668,                0.69714,                0.59313,                0.44766,                0.98128,                 1.1569,                 1.1633,             0.00070614,             0.00070614,             0.00070614
                     68,                0.77816,                 0.5486,                0.94533,                0.62268,                0.66857,                0.60901,                0.45932,                0.92452,                 1.0827,                 1.1228,             0.00068653,             0.00068653,             0.00068653
                     69,                0.76337,                0.55381,                0.93647,                0.62298,                0.62857,                0.61533,                0.45988,                0.93276,                 1.1068,                 1.1562,             0.00066693,             0.00066693,             0.00066693
                     70,                0.76432,                0.54423,                0.93803,                 0.6049,                   0.64,                0.58747,                 0.4334,                 1.1181,                 1.6292,                 1.2806,             0.00064733,             0.00064733,             0.00064733
                     71,                0.76567,                0.54742,                0.93788,                0.56912,                0.64571,                0.56492,                0.43041,                0.97372,                 1.2423,                 1.1838,             0.00062772,             0.00062772,             0.00062772
                     72,                0.76263,                0.54435,                0.93812,                0.64045,                0.66162,                0.62134,                0.46071,                   1.01,                 1.0625,                 1.2315,             0.00060812,             0.00060812,             0.00060812
                     73,                0.79081,                0.55452,                0.95042,                0.68986,                0.66096,                0.63889,                0.46823,                0.94782,                 1.0071,                  1.138,             0.00058851,             0.00058851,             0.00058851
                     74,                0.76599,                0.54112,                 0.9441,                0.63368,                0.65143,                0.61361,                0.45735,                0.92008,                  1.023,                 1.0929,             0.00056891,             0.00056891,             0.00056891
                     75,                0.78304,                0.54237,                0.94063,                0.58967,                0.67429,                0.58353,                0.43217,                 0.9612,                 1.1589,                 1.1291,             0.00054931,             0.00054931,             0.00054931
                     76,                0.77422,                0.53891,                0.94204,                0.55604,                0.70853,                0.57567,                0.43156,                 1.0442,                 1.1614,                 1.2754,              0.0005297,              0.0005297,              0.0005297
                     77,                0.76012,                0.53164,                0.93604,                0.57873,                0.63429,                0.57804,                0.42569,                 1.0887,                 1.5618,                 1.2239,              0.0005101,              0.0005101,              0.0005101
                     78,                  0.756,                0.52213,                0.94645,                0.60901,                0.63429,                0.59595,                0.44297,                0.94912,                 1.2151,                 1.1395,              0.0004905,              0.0004905,              0.0004905
